Year,PDGES ID,NPRI,Company name and facility,NAICS,Town,Province,CO2,CH4,N20,HFC,PFC,SF6,Total
2015,G10003,,"Foothills Pipe Lines Ltd. - Foothills Pipeline, Alberta",486210,AIRDRIE,Alberta,235503.7371,11315.34993,1384.21,0,0,0,248203.297
2015,G10006,2134,Agrium Inc. - Redwater Fertilizer Operations,325313,STURGEON COUNTY,Alberta,1179082.741,67916.7948,11634.4865,0,0,0,1258634.022
2015,G10007,3974,Keyera Corp - Alberta Envirofuels,325190,EDMONTON,Alberta,299086.5301,668.897525,513.7222,0,0,0,300269.1498
2015,G10008,,Alliance Pipeline Ltd. - Alliance Pipeline Ltd. - AB Pipeline System,486210,CALGARY,Alberta,510607.9068,20236.3966,4303.239796,0,0,0,535147.5432
2015,G10009,1,Alberta-Pacific Forest Industries Inc. - Alberta-Pacific Forest Industries Inc.,322112,COUNTY OF ATHABASCA,Alberta,89170.08228,2186.792475,18135.2072,0,0,0,109492.082
2015,G10015,,ATCO Gas and Pipelines Ltd. - ATCO Pipelines,486210,EDMONTON,Alberta,74337.30164,92526.6315,3341.8614,0,0,0,170205.7945
2015,G10018,1033,Alberta Power (2000) Ltd. - Battle River Generating Station,221112,FORESTBURG,Alberta,2921171.75,803.720025,12950.425,0,0,0,2934925.895
2015,G10029,3749,Tidewater Midstream and Infrastructure Ltd. - Brazeau Gas Plant,211113,Drayton Valley,Alberta,96248.97754,65897.57483,1957.4428,0,0,0,164103.9952
2015,G10030,1362,Keyera Corp - Brazeau River Gas Plant,211113,DRAYTON VALLEY,Alberta,69961.7067,8944.470175,3094.8492,0,0,0,82001.02608
2015,G10040,15740,Calgary Energy Centre No. 2 Inc. - Calgary Energy Centre,221112,CALGARY,Alberta,361135.625,2306.25,2750.54,0,0,0,366192.415
2015,G10044,3821,Canadian Fertilizers Limited - Canadian Fertilizers Limited,325313,MEDICINE HAT,Alberta,1785868.913,1962.23255,5383.488902,0,0,0,1793214.635
2015,G10046,,"Nova Gas Transmission Ltd. - TransCanada Pipeline, Alberta System",486210,FAIRVIEW,Alberta,2383362.205,402913.8098,13959.6616,0,0,0,2800235.676
2015,G10053,3269,Agrium Inc. - Carseland Nitrogen Operations,325313,CARSELAND,Alberta,569074.2676,6031.375,2220.398,0,0,0,577326.0406
2015,G10054,6700,TransCanada Energy Ltd. - Carseland Power Plant,221112,Carseland,Alberta,329362.5938,542.31,2471.1948,0,0,0,332376.0986
2015,G10055,2857,Orica Canada Inc. - Carseland Works,325313,CARSELAND,Alberta,371.970489,8.81,117737.5099,0,0,0,118118.2904
2015,G10058,6633,ENMAX Cavalier GP Inc.                                                 - Cavalier Energy Centre,221112,STRATHMORE,Alberta,148801.3325,349.25,1054.92,0,0,0,150205.5025
2015,G10065,6625,"Cenovus FCCL Ltd., as operator for FCCL Partnership - Christina Lake SAGD Bitumen Battery",211114,LAC LA BICHE,Alberta,1970706.39,29934.74533,3161.035,0,0,0,2003802.171
2015,G10068,6576,City of Medicine Hat - Electric Utility - Generation,221112,MEDICINE HAT,Alberta,316443.875,2888.91495,2417.8528,0,0,0,321750.6428
2015,G10069,23368,Capital Power (Alberta) Limited Partnership - Clover Bar Energy Centre,221112,EDMONTON,Alberta,127387.9922,786.035025,936.9418,0,0,0,129110.969
2015,G10071,5248,Inter Pipeline Extraction Ltd. - Cochrane Extraction Plant,211113,Cochrane,Alberta,480317.0042,3749.1351,3228.1446,17026.311,0,0,504320.5949
2015,G10073,442,Imperial Oil Resources Limited - Cold Lake,211114,GRANDE CENTRE,Alberta,5480528.324,20771.6824,28675.32595,0,0,0,5529975.332
2015,G10086,15437,ATCO Gas and Pipelines Ltd. - ATCO Gas - Distribution Systems,221210,EDMONTON,Alberta,38683.08282,89694.6879,215.93676,0,0,0,128593.7075
